account_id,account_name,industry,region,arr,plan,created_at
ACCT0001,Jensen-Marshall,SaaS,EMEA,10000,enterprise,2023-03-21
ACCT0002,"Johnson, Lucas and Powell",Healthcare,EMEA,10000,starter,2024-03-09
ACCT0003,Green-Ayala,Healthcare,EMEA,25000,enterprise,2023-05-12
ACCT0004,Johnston PLC,Finance,APAC,25000,growth,2024-07-18
ACCT0005,Burke-Santana,Retail,NA,10000,growth,2023-08-07
ACCT0006,Hogan-Vega,Retail,NA,1000,growth,2023-01-30
ACCT0007,Smith Inc,Healthcare,NA,25000,growth,2023-12-03
ACCT0008,Griffith-Fuentes,Healthcare,APAC,5000,enterprise,2023-07-10
ACCT0009,"Anderson, Goodwin and Meyer",Healthcare,NA,10000,growth,2023-12-22
ACCT0010,Wilson and Sons,Finance,EMEA,25000,starter,2024-02-03
ACCT0011,"Gonzalez, Kennedy and Gardner",Retail,APAC,10000,starter,2024-08-18
ACCT0012,Daniels-Greer,Finance,NA,1000,starter,2023-10-29
ACCT0013,"Martin, Hill and Taylor",Retail,NA,25000,enterprise,2024-08-20
ACCT0014,"Hill, Cameron and Davila",Retail,APAC,1000,growth,2024-05-14
ACCT0015,Watkins-Blair,Finance,APAC,1000,enterprise,2023-12-04
ACCT0016,"Austin, Strickland and Diaz",Healthcare,EMEA,10000,starter,2023-03-09
ACCT0017,Williams-Johnson,Finance,APAC,25000,starter,2023-12-19
ACCT0018,"Rhodes, Wise and Gentry",Retail,EMEA,1000,starter,2023-12-23
ACCT0019,Peterson-Simmons,Retail,NA,5000,enterprise,2024-03-29
ACCT0020,Miller-Miller,Finance,EMEA,1000,growth,2024-06-10
ACCT0021,Farmer PLC,SaaS,NA,1000,enterprise,2024-03-23
ACCT0022,Mercer-Noble,SaaS,EMEA,25000,growth,2023-10-20
ACCT0023,"Gomez, Hahn and Carter",Finance,NA,5000,enterprise,2023-09-17
ACCT0024,"Spencer, Burgess and Miller",SaaS,NA,10000,starter,2024-01-02
ACCT0025,"Gordon, Sharp and Ritter",SaaS,NA,5000,growth,2023-11-18
ACCT0026,"Thomas, Kennedy and Davis",Retail,EMEA,25000,enterprise,2024-07-11
ACCT0027,"Young, Espinoza and Harper",SaaS,APAC,10000,starter,2024-05-16
ACCT0028,Campbell Ltd,Finance,EMEA,1000,enterprise,2024-02-20
ACCT0029,"Perez, Gill and James",Healthcare,NA,1000,growth,2023-10-14
ACCT0030,"Thomas, Sweeney and Williamson",SaaS,EMEA,10000,enterprise,2023-09-21
ACCT0031,Clark-Crosby,Finance,NA,10000,starter,2023-10-06
ACCT0032,Skinner-Martin,Finance,APAC,5000,enterprise,2023-07-07
ACCT0033,Kennedy-Ruiz,Healthcare,NA,25000,growth,2023-12-03
ACCT0034,Rodriguez Group,Retail,NA,5000,enterprise,2024-02-22
ACCT0035,"Small, Burton and Johnston",Healthcare,APAC,5000,growth,2023-01-31
ACCT0036,Vargas-Hughes,Healthcare,NA,25000,starter,2023-05-05
ACCT0037,"Williams, Gentry and Love",SaaS,NA,10000,growth,2024-04-18
ACCT0038,Gonzalez-Kramer,Retail,APAC,1000,starter,2023-12-27
ACCT0039,Smith LLC,Finance,NA,10000,starter,2024-07-07
ACCT0040,"Adams, Chandler and Lewis",Finance,NA,10000,enterprise,2023-12-28
ACCT0041,"Thomas, Roberts and Mccoy",Healthcare,EMEA,10000,growth,2023-03-27
ACCT0042,Rivera Ltd,Retail,APAC,5000,starter,2024-06-06
ACCT0043,"Henderson, Cox and Suarez",Healthcare,APAC,25000,enterprise,2023-11-02
ACCT0044,Harris-Lee,SaaS,APAC,1000,starter,2024-01-20
ACCT0045,May-Woods,SaaS,APAC,25000,enterprise,2023-05-16
ACCT0046,Hoover LLC,Retail,NA,25000,enterprise,2024-06-23
ACCT0047,"Arroyo, Thompson and Miller",Healthcare,EMEA,25000,growth,2024-10-21
ACCT0048,"Livingston, Thompson and Johnson",Finance,EMEA,10000,enterprise,2024-08-26
ACCT0049,Coleman-Chambers,Finance,NA,5000,growth,2024-01-09
ACCT0050,Ware-Quinn,Finance,NA,1000,growth,2023-06-21
ACCT0051,Smith and Sons,Retail,APAC,1000,enterprise,2024-07-03
ACCT0052,Beck PLC,SaaS,EMEA,5000,enterprise,2024-09-28
ACCT0053,Thompson Group,Retail,NA,25000,enterprise,2023-12-08
ACCT0054,Lewis Ltd,Retail,EMEA,10000,growth,2023-12-24
