survey_id,account_id,score,comment,survey_date
NPS00001,ACCT0172,2,Out address few member determine.,2025-01-07
NPS00002,ACCT0243,5,Goal note trip simply policy remain choice hundred him every.,2025-07-09
NPS00003,ACCT0115,0,Democratic speech door marriage poor level learn.,2024-11-17
NPS00004,ACCT0095,3,Radio really security police.,2025-05-27
NPS00005,ACCT0208,4,Clearly decide sense medical hot not group official customer.,2025-08-15
NPS00006,ACCT0170,2,Town east quality cut himself glass stand subject physical too.,2025-06-15
NPS00007,ACCT0175,6,Until small concern top ability truth simply benefit.,2025-03-02
NPS00008,ACCT0229,8,Purpose trial blue current film.,2025-02-10
NPS00009,ACCT0253,2,Movie radio decade candidate finally raise decade.,2025-01-17
NPS00010,ACCT0040,5,Hard meeting report treatment staff modern.,2025-09-23
NPS00011,ACCT0122,9,Reality hand commercial draw find buy major.,2025-05-09
NPS00012,ACCT0266,4,Wish matter walk by leg worker ago because culture.,2024-12-03
NPS00013,ACCT0049,8,Also education fast radio election fact measure sell because.,2025-09-27
NPS00014,ACCT0132,2,Trial item born owner hundred.,2024-12-16
NPS00015,ACCT0092,9,Main condition north strong son camera.,2024-11-21
NPS00016,ACCT0040,5,New agreement law medical station write adult spend able form.,2025-06-13
NPS00017,ACCT0258,3,Kitchen home well beautiful like opportunity him area blue.,2025-04-29
NPS00018,ACCT0276,8,When human member whom someone job debate.,2025-02-13
NPS00019,ACCT0112,3,Guess training free read reduce tough cost.,2024-11-21
NPS00020,ACCT0209,8,Difficult project serious weight buy.,2024-12-25
NPS00021,ACCT0149,5,His party maintain grow attorney campaign concern nor.,2025-04-22
NPS00022,ACCT0215,9,Throw born our economy rule lawyer.,2025-07-30
NPS00023,ACCT0112,1,Season each information international trouble finish center.,2025-09-29
NPS00024,ACCT0146,10,Impact network can own pay kid who party avoid.,2025-04-13
NPS00025,ACCT0244,8,Water old game several like middle guy ground.,2025-02-27
NPS00026,ACCT0282,6,True memory usually I very industry girl later customer.,2024-11-26
NPS00027,ACCT0209,4,Hotel beautiful follow evidence fund.,2025-09-20
NPS00028,ACCT0025,5,Will road item down concern.,2025-11-06
NPS00029,ACCT0033,3,Audience matter his perhaps resource long father data choice bill.,2025-10-21
NPS00030,ACCT0195,0,Determine probably serious fire community guy.,2025-10-07
NPS00031,ACCT0260,2,Very require carry them right themselves grow treat drive about.,2025-01-27
NPS00032,ACCT0172,2,Center another side fast store establish.,2025-04-13
NPS00033,ACCT0213,10,Suddenly billion team day.,2025-04-01
NPS00034,ACCT0010,4,Manager remember dog range think establish reach go open.,2025-01-07
NPS00035,ACCT0025,10,Official politics value create him deep.,2024-12-22
NPS00036,ACCT0157,8,Partner stand model available building among.,2024-12-20
NPS00037,ACCT0086,6,Strong back mother cause perhaps effect.,2025-08-24
NPS00038,ACCT0104,5,Expect wind past western stop child.,2025-09-28
NPS00039,ACCT0223,6,Town still before especially hope speech Republican amount record.,2025-02-13
NPS00040,ACCT0050,6,Make policy avoid play small bed page lot ground.,2025-09-02
NPS00041,ACCT0050,6,Paper population bill history final never instead role degree piece.,2025-08-30
NPS00042,ACCT0045,6,May discussion approach itself ready rock.,2024-12-06
NPS00043,ACCT0057,1,Remain talk wish face floor agency well foreign mind production.,2025-05-02
NPS00044,ACCT0065,4,Return vote war page be language.,2025-05-08
NPS00045,ACCT0075,8,Wait risk more still respond moment despite.,2025-08-24
NPS00046,ACCT0241,0,Away show might remain general born song later ten.,2025-05-13
NPS00047,ACCT0299,0,Technology meet where teacher area recognize respond effect man.,2025-05-02
NPS00048,ACCT0183,4,Few life either long.,2025-07-13
NPS00049,ACCT0219,5,Newspaper difference five dinner federal today down.,2025-02-17
NPS00050,ACCT0063,2,Inside opportunity fill magazine room ago hour wall.,2025-05-03
NPS00051,ACCT0215,0,Feeling become clear high.,2025-07-01
NPS00052,ACCT0162,3,Weight field kid election police stage guy.,2024-12-07
NPS00053,ACCT0013,2,Gas well life good general bed me state stuff source.,2025-02-25
NPS00054,ACCT0174,6,Move least board in modern.,2025-01-11
NPS00055,ACCT0073,0,East name school voice truth church.,2025-04-29
NPS00056,ACCT0259,8,Never catch data president ball foreign finally although.,2024-12-06
NPS00057,ACCT0299,5,Face develop crime expert play century individual understand.,2025-01-17
NPS00058,ACCT0085,4,A protect fill write type remain hope anything customer investment.,2025-06-12
NPS00059,ACCT0016,0,Would picture at you treat education young.,2025-10-16
NPS00060,ACCT0206,9,Interest here her few avoid rule far carry.,2025-08-02
NPS00061,ACCT0188,7,Baby present food now past speech management mean.,2025-09-23
NPS00062,ACCT0123,8,Surface clearly see these quality night account detail sit.,2025-07-12
NPS00063,ACCT0040,5,Left traditional only before prove wind once stock plant positive plant.,2025-11-01
NPS00064,ACCT0211,10,Face clear various allow later time inside green thought.,2025-03-14
NPS00065,ACCT0144,2,Source war coach herself technology since such.,2025-09-26
NPS00066,ACCT0089,7,Page stage agreement society tree.,2025-05-12
NPS00067,ACCT0038,5,Authority crime realize production speech book difference food.,2024-12-23
NPS00068,ACCT0050,1,Form social some adult treat return follow beyond.,2025-04-11
NPS00069,ACCT0048,8,Successful use what wrong many measure nearly why.,2025-07-09
NPS00070,ACCT0266,2,Mouth late financial significant natural pressure water.,2025-09-15
NPS00071,ACCT0270,0,Knowledge stock head big discuss single really.,2025-01-28
NPS00072,ACCT0083,5,Age direction gun would share health heavy manager message cover.,2024-11-21
NPS00073,ACCT0284,3,Draw specific election anyone environmental someone spring.,2025-03-14
NPS00074,ACCT0024,6,Room exist start relationship maintain appear special for cell woman.,2025-03-23
NPS00075,ACCT0002,4,Successful my mention follow wind job organization each let address.,2025-07-13
NPS00076,ACCT0001,10,These explain dog necessary treat.,2025-05-07
NPS00077,ACCT0289,10,Deal check upon enough six lawyer whose kid beautiful.,2025-07-30
NPS00078,ACCT0017,5,Question safe structure film road.,2025-07-29
NPS00079,ACCT0211,4,It professional amount tree cut.,2025-07-24
NPS00080,ACCT0199,8,Traditional own turn including call.,2025-10-04
NPS00081,ACCT0226,7,Business process fear day someone material win.,2025-05-10
NPS00082,ACCT0159,6,Teach according admit measure occur television ten.,2025-04-28
NPS00083,ACCT0087,10,Do central chair machine those compare like.,2024-12-23
NPS00084,ACCT0044,1,The Mr where response.,2025-04-28
NPS00085,ACCT0110,8,Economy bad south opportunity every.,2025-10-28
NPS00086,ACCT0058,4,Apply parent wait role offer of more exactly.,2025-10-15
NPS00087,ACCT0240,6,Research environmental later less commercial production Congress image set risk.,2024-12-08
NPS00088,ACCT0255,10,Poor hand somebody suddenly cell physical movement.,2025-09-21
NPS00089,ACCT0240,4,Message never know have work pass.,2025-04-21
NPS00090,ACCT0151,1,Student nation lead make traditional write operation tree.,2024-12-16
NPS00091,ACCT0281,6,Phone ask the ok end case then general onto.,2025-03-19
NPS00092,ACCT0110,9,Realize recently spend force along red.,2025-08-20
NPS00093,ACCT0123,7,Magazine he night executive year whom something.,2025-07-19
NPS00094,ACCT0253,4,Property road director hand stop choice act would face forget.,2025-02-11
NPS00095,ACCT0001,7,Finally oil word send wear.,2025-01-24
NPS00096,ACCT0088,6,Close reduce occur world series item language computer each attack.,2025-08-20
NPS00097,ACCT0181,10,Positive night enough direction improve it amount.,2025-10-02
NPS00098,ACCT0129,0,Environment audience drug either structure.,2025-10-06
NPS00099,ACCT0037,2,Matter hit dream score nation.,2024-12-17
NPS00100,ACCT0223,7,Yeah study policy wide old bank change condition site.,2025-05-30
NPS00101,ACCT0177,7,Poor clear result senior subject investment plant same.,2025-01-10
NPS00102,ACCT0203,2,Instead need foreign nearly at total sort have out score.,2025-03-22
NPS00103,ACCT0180,9,Support sea give art for table like.,2024-12-21
