event_id,account_id,user_id,event_type,event_time
EVT000000,ACCT0253,USER00735,feat_B,2025-11-15T04:08:57.834381
EVT000001,ACCT0261,USER00507,feat_A,2025-11-04T12:51:57.834381
EVT000002,ACCT0269,USER00152,login,2025-08-19T00:32:57.834381
EVT000003,ACCT0254,USER00013,api_call,2025-10-18T23:25:57.834381
EVT000004,ACCT0288,USER00849,feat_A,2025-09-14T09:45:57.834381
EVT000005,ACCT0075,USER00778,api_call,2025-10-15T05:09:57.834381
EVT000006,ACCT0051,USER00922,feat_B,2025-11-02T20:39:57.834381
EVT000007,ACCT0071,USER00530,login,2025-05-28T08:24:57.834381
EVT000008,ACCT0097,USER00602,feat_B,2025-10-21T20:17:57.834381
EVT000009,ACCT0066,USER00364,login,2025-09-21T05:49:57.834381
EVT000010,ACCT0238,USER00049,feat_B,2025-10-11T19:50:57.834381
EVT000011,ACCT0139,USER00063,feat_B,2025-10-01T01:22:57.834381
EVT000012,ACCT0264,USER00575,api_call,2025-11-03T12:34:57.834381
EVT000013,ACCT0020,USER00558,feat_B,2025-09-24T23:58:57.834381
EVT000014,ACCT0290,USER00523,login,2025-08-09T10:04:57.834381
EVT000015,ACCT0174,USER00336,feat_B,2025-08-13T18:09:57.834381
EVT000016,ACCT0063,USER00480,feat_A,2025-07-03T05:23:57.834381
EVT000017,ACCT0222,USER00911,login,2025-06-21T05:21:57.834381
EVT000018,ACCT0006,USER00460,feat_A,2025-08-28T21:14:57.834381
EVT000019,ACCT0206,USER00170,feat_A,2025-06-10T12:55:57.834381
EVT000020,ACCT0212,USER00368,api_call,2025-06-08T09:36:57.834381
EVT000021,ACCT0118,USER00687,api_call,2025-10-03T03:55:57.834381
EVT000022,ACCT0116,USER00150,login,2025-06-15T06:57:57.834381
EVT000023,ACCT0273,USER00688,login,2025-09-09T14:42:57.834381
EVT000024,ACCT0062,USER00471,feat_B,2025-06-07T03:57:57.834381
EVT000025,ACCT0247,USER00659,feat_A,2025-06-20T00:23:57.834381
EVT000026,ACCT0202,USER00099,login,2025-11-08T19:41:57.834381
EVT000027,ACCT0122,USER00373,feat_A,2025-09-03T18:31:57.834381
EVT000028,ACCT0226,USER00449,feat_A,2025-06-07T18:49:57.834381
EVT000029,ACCT0211,USER00461,feat_B,2025-06-13T11:15:57.834381
EVT000030,ACCT0286,USER00804,feat_A,2025-09-12T10:10:57.834381
EVT000031,ACCT0173,USER00367,feat_B,2025-10-08T13:53:57.834381
EVT000032,ACCT0279,USER00273,login,2025-10-01T19:40:57.834381
EVT000033,ACCT0216,USER00828,feat_A,2025-06-26T00:41:57.834381
EVT000034,ACCT0012,USER00472,login,2025-07-09T23:52:57.834381
EVT000035,ACCT0188,USER00614,feat_B,2025-07-24T12:49:57.834381
EVT000036,ACCT0054,USER00889,feat_B,2025-07-20T21:22:57.834381
EVT000037,ACCT0285,USER00052,login,2025-06-08T00:36:57.834381
EVT000038,ACCT0154,USER00596,feat_A,2025-09-08T19:40:57.834381
EVT000039,ACCT0171,USER00733,feat_B,2025-05-30T12:22:57.834381
EVT000040,ACCT0068,USER00961,login,2025-11-04T12:22:57.834381
EVT000041,ACCT0300,USER00294,feat_B,2025-07-02T04:55:57.834381
EVT000042,ACCT0065,USER00529,feat_B,2025-06-23T17:11:57.834381
EVT000043,ACCT0210,USER00378,login,2025-10-07T10:59:57.834381
EVT000044,ACCT0122,USER00302,login,2025-06-12T23:55:57.834381
EVT000045,ACCT0170,USER00764,login,2025-07-08T01:21:57.834381
EVT000046,ACCT0238,USER00858,feat_B,2025-09-15T10:30:57.834381
EVT000047,ACCT0143,USER00830,login,2025-07-27T00:07:57.834381
EVT000048,ACCT0267,USER00617,api_call,2025-07-28T12:55:57.834381
EVT000049,ACCT0200,USER00998,feat_A,2025-10-08T04:58:57.834381
EVT000050,ACCT0295,USER00224,feat_A,2025-08-20T04:53:57.834381
EVT000051,ACCT0131,USER00483,feat_A,2025-10-29T21:44:57.834381
EVT000052,ACCT0039,USER00025,login,2025-06-02T22:48:57.834381
EVT000053,ACCT0185,USER00110,feat_B,2025-10-09T20:43:57.834381
EVT000054,ACCT0105,USER00615,feat_A,2025-08-08T13:55:57.834381
EVT000055,ACCT0074,USER00902,api_call,2025-10-22T19:09:57.834381
EVT000056,ACCT0131,USER00685,feat_A,2025-07-10T09:50:57.834381
EVT000057,ACCT0175,USER00273,feat_A,2025-06-19T03:59:57.834381
EVT000058,ACCT0204,USER00043,feat_B,2025-09-04T18:21:57.834381
EVT000059,ACCT0202,USER00726,api_call,2025-10-03T17:54:57.834381
EVT000060,ACCT0286,USER00768,feat_A,2025-11-04T19:20:57.834381
EVT000061,ACCT0166,USER00292,api_call,2025-05-19T13:25:57.834381
EVT000062,ACCT0248,USER00938,feat_A,2025-08-04T08:50:57.834381
EVT000063,ACCT0123,USER00268,feat_A,2025-07-02T12:10:57.834381
EVT000064,ACCT0227,USER00475,feat_A,2025-09-21T18:24:57.834381
EVT000065,ACCT0103,USER00350,feat_A,2025-11-12T04:50:57.834381
EVT000066,ACCT0097,USER00222,login,2025-10-09T16:46:57.834381
EVT000067,ACCT0068,USER00124,feat_B,2025-06-13T18:23:57.834381
EVT000068,ACCT0014,USER00626,api_call,2025-06-27T19:29:57.834381
EVT000069,ACCT0094,USER00708,feat_B,2025-09-27T09:22:57.834381
EVT000070,ACCT0061,USER00994,login,2025-07-11T10:48:57.834381
EVT000071,ACCT0154,USER00549,api_call,2025-11-04T16:37:57.834381
EVT000072,ACCT0230,USER00244,feat_A,2025-11-07T11:22:57.834381
EVT000073,ACCT0016,USER00349,api_call,2025-07-24T16:06:57.834381
EVT000074,ACCT0223,USER00623,feat_B,2025-10-17T05:22:57.834381
EVT000075,ACCT0257,USER00832,login,2025-07-12T18:58:57.834381
EVT000076,ACCT0060,USER00513,feat_B,2025-07-10T07:31:57.834381
EVT000077,ACCT0013,USER00852,api_call,2025-09-04T15:05:57.834381
EVT000078,ACCT0071,USER00463,feat_A,2025-08-29T13:50:57.834381
EVT000079,ACCT0290,USER00787,feat_B,2025-11-06T02:26:57.834381
EVT000080,ACCT0113,USER00497,feat_B,2025-10-07T19:19:57.834381
EVT000081,ACCT0180,USER00429,api_call,2025-06-18T02:05:57.834381
EVT000082,ACCT0243,USER00569,api_call,2025-07-09T17:36:57.834381
EVT000083,ACCT0065,USER00373,api_call,2025-08-11T20:04:57.834381
EVT000084,ACCT0202,USER00153,feat_B,2025-06-02T09:50:57.834381
EVT000085,ACCT0166,USER00026,feat_B,2025-05-31T00:14:57.834381
EVT000086,ACCT0131,USER00638,api_call,2025-09-18T07:46:57.834381
EVT000087,ACCT0090,USER00375,api_call,2025-08-27T02:58:57.834381
EVT000088,ACCT0106,USER00544,api_call,2025-08-26T22:18:57.834381
EVT000089,ACCT0225,USER00484,api_call,2025-07-23T00:03:57.834381
EVT000090,ACCT0138,USER00826,api_call,2025-08-26T15:53:57.834381
EVT000091,ACCT0087,USER00934,login,2025-10-16T07:02:57.834381
EVT000092,ACCT0250,USER00503,login,2025-07-01T23:53:57.834381
EVT000093,ACCT0049,USER00201,login,2025-07-11T04:54:57.834381
EVT000094,ACCT0093,USER00840,api_call,2025-09-21T00:39:57.834381
EVT000095,ACCT0055,USER00915,feat_A,2025-06-18T17:40:57.834381
EVT000096,ACCT0147,USER00911,login,2025-10-05T14:17:57.834381
EVT000097,ACCT0056,USER00196,api_call,2025-09-16T09:22:57.834381
EVT000098,ACCT0049,USER00870,api_call,2025-10-18T21:35:57.834381
EVT000099,ACCT0071,USER00566,feat_B,2025-08-05T14:59:57.834381
EVT000100,ACCT0013,USER00163,feat_B,2025-08-10T17:39:57.834381
EVT000101,ACCT0059,USER00102,feat_B,2025-11-01T16:31:57.834381
EVT000102,ACCT0196,USER00026,feat_B,2025-09-11T02:03:57.834381
EVT000103,ACCT0135,USER00543,feat_B,2025-10-24T10:53:57.834381
EVT000104,ACCT0059,USER00113,feat_B,2025-06-01T11:25:57.834381
EVT000105,ACCT0277,USER00178,api_call,2025-10-14T04:00:57.834381
EVT000106,ACCT0300,USER00635,feat_B,2025-08-13T07:22:57.834381
EVT000107,ACCT0065,USER00978,login,2025-11-05T11:02:57.834381
EVT000108,ACCT0031,USER00433,feat_A,2025-08-15T12:27:57.834381
EVT000109,ACCT0152,USER00506,api_call,2025-08-27T17:28:57.834381
EVT000110,ACCT0263,USER00806,feat_B,2025-07-19T17:21:57.834381
EVT000111,ACCT0171,USER00360,feat_A,2025-05-25T17:34:57.834381
EVT000112,ACCT0015,USER00810,feat_A,2025-06-14T01:10:57.834381
EVT000113,ACCT0164,USER00664,api_call,2025-07-03T09:46:57.834381
EVT000114,ACCT0197,USER00917,api_call,2025-10-23T13:04:57.834381
EVT000115,ACCT0073,USER00067,feat_B,2025-10-11T16:06:57.834381
EVT000116,ACCT0278,USER00745,login,2025-09-16T02:40:57.834381
EVT000117,ACCT0262,USER00350,login,2025-08-04T11:16:57.834381
EVT000118,ACCT0298,USER00067,feat_A,2025-06-13T22:53:57.834381
EVT000119,ACCT0219,USER00718,feat_A,2025-06-25T10:26:57.834381
EVT000120,ACCT0207,USER00772,login,2025-05-29T23:48:57.834381
EVT000121,ACCT0260,USER00645,feat_A,2025-10-03T08:31:57.834381
EVT000122,ACCT0084,USER00363,feat_B,2025-08-13T23:32:57.834381
EVT000123,ACCT0261,USER00446,feat_B,2025-06-30T19:39:57.834381
EVT000124,ACCT0142,USER00328,feat_A,2025-07-24T00:34:57.834381
EVT000125,ACCT0029,USER00706,api_call,2025-10-06T20:11:57.834381
EVT000126,ACCT0198,USER00096,api_call,2025-07-08T18:04:57.834381
EVT000127,ACCT0110,USER00372,feat_A,2025-10-22T06:32:57.834381
EVT000128,ACCT0048,USER00583,login,2025-09-15T21:29:57.834381
EVT000129,ACCT0024,USER00721,feat_B,2025-08-29T13:41:57.834381
EVT000130,ACCT0065,USER00702,login,2025-06-09T01:54:57.834381
EVT000131,ACCT0144,USER00125,login,2025-09-05T04:44:57.834381
EVT000132,ACCT0168,USER00852,feat_B,2025-09-13T23:12:57.834381
EVT000133,ACCT0074,USER00775,feat_B,2025-06-03T23:39:57.834381
EVT000134,ACCT0169,USER00784,feat_A,2025-10-19T21:29:57.834381
EVT000135,ACCT0229,USER00231,api_call,2025-07-22T14:58:57.834381
EVT000136,ACCT0242,USER00113,login,2025-06-13T21:19:57.834381
EVT000137,ACCT0057,USER00658,api_call,2025-10-30T07:59:57.834381
EVT000138,ACCT0139,USER00211,api_call,2025-08-30T07:15:57.834381
EVT000139,ACCT0206,USER00791,login,2025-09-10T18:47:57.834381
EVT000140,ACCT0212,USER00329,feat_B,2025-06-02T06:40:57.834381
EVT000141,ACCT0049,USER00167,login,2025-09-28T14:41:57.834381
EVT000142,ACCT0231,USER00015,feat_B,2025-07-18T13:14:57.834381
EVT000143,ACCT0253,USER00523,login,2025-08-14T09:56:57.834381
EVT000144,ACCT0116,USER00018,login,2025-10-08T13:25:57.834381
EVT000145,ACCT0235,USER00635,api_call,2025-07-20T13:33:57.834381
EVT000146,ACCT0272,USER00605,api_call,2025-10-03T06:11:57.834381
EVT000147,ACCT0272,USER00425,feat_B,2025-10-18T21:32:57.834381
EVT000148,ACCT0045,USER00133,api_call,2025-06-03T04:13:57.834381
EVT000149,ACCT0005,USER00019,login,2025-11-06T19:01:57.834381
EVT000150,ACCT0147,USER00836,feat_B,2025-08-05T08:11:57.834381
EVT000151,ACCT0019,USER00034,api_call,2025-09-06T17:34:57.834381
EVT000152,ACCT0068,USER00273,login,2025-07-24T01:48:57.834381
EVT000153,ACCT0152,USER00026,api_call,2025-08-29T07:52:57.834381
EVT000154,ACCT0281,USER00145,login,2025-07-19T06:58:57.834381
EVT000155,ACCT0094,USER00701,feat_A,2025-09-05T11:44:57.834381
EVT000156,ACCT0173,USER00750,api_call,2025-06-07T14:47:57.834381
EVT000157,ACCT0159,USER00875,login,2025-07-08T04:37:57.834381
EVT000158,ACCT0219,USER00397,login,2025-08-04T23:41:57.834381
EVT000159,ACCT0187,USER00658,feat_B,2025-09-17T14:35:57.834381
EVT000160,ACCT0291,USER00015,feat_A,2025-09-13T04:09:57.834381
EVT000161,ACCT0034,USER00887,api_call,2025-11-01T11:03:57.834381
EVT000162,ACCT0021,USER00454,login,2025-08-07T15:30:57.834381
EVT000163,ACCT0224,USER00400,feat_A,2025-06-10T11:25:57.834381
EVT000164,ACCT0206,USER00748,feat_B,2025-09-08T21:15:57.834381
EVT000165,ACCT0211,USER00095,login,2025-11-14T03:58:57.834381
EVT000166,ACCT0071,USER00068,feat_B,2025-10-17T22:38:57.834381
EVT000167,ACCT0018,USER00633,feat_B,2025-08-14T04:06:57.834381
EVT000168,ACCT0096,USER00493,api_call,2025-10-18T18:54:57.834381
EVT000169,ACCT0176,USER00515,feat_A,2025-09-11T02:37:57.834381
EVT000170,ACCT0195,USER00751,feat_A,2025-09-21T14:50:57.834381
EVT000171,ACCT0078,USER00771,feat_A,2025-05-23T05:19:57.834381
EVT000172,ACCT0236,USER00150,login,2025-07-24T06:50:57.834381
EVT000173,ACCT0154,USER00571,login,2025-09-27T23:13:57.834381
EVT000174,ACCT0229,USER00107,login,2025-08-28T13:58:57.834381
EVT000175,ACCT0175,USER00202,api_call,2025-11-06T21:30:57.834381
EVT000176,ACCT0115,USER00938,feat_A,2025-07-11T20:07:57.834381
EVT000177,ACCT0286,USER00892,feat_B,2025-05-22T13:36:57.834381
EVT000178,ACCT0182,USER00378,login,2025-11-03T22:56:57.834381
EVT000179,ACCT0210,USER00204,login,2025-10-09T05:30:57.834381
EVT000180,ACCT0096,USER00502,login,2025-08-06T10:04:57.834381
EVT000181,ACCT0294,USER00089,feat_B,2025-09-09T09:33:57.834381
EVT000182,ACCT0043,USER00681,api_call,2025-10-21T11:02:57.834381
EVT000183,ACCT0166,USER00151,feat_A,2025-08-14T17:26:57.834381
EVT000184,ACCT0183,USER00776,feat_B,2025-09-30T09:21:57.834381
EVT000185,ACCT0176,USER00672,login,2025-05-22T19:55:57.834381
EVT000186,ACCT0220,USER00435,api_call,2025-10-06T22:34:57.834381
EVT000187,ACCT0004,USER00076,feat_A,2025-11-09T00:22:57.834381
EVT000188,ACCT0251,USER00491,feat_A,2025-07-03T17:33:57.834381
EVT000189,ACCT0207,USER00846,api_call,2025-09-24T09:27:57.834381
EVT000190,ACCT0064,USER00418,api_call,2025-10-18T18:25:57.834381
EVT000191,ACCT0165,USER00308,api_call,2025-10-26T20:52:57.834381
EVT000192,ACCT0234,USER00537,feat_B,2025-10-26T23:57:57.834381
EVT000193,ACCT0079,USER00725,feat_A,2025-05-21T00:06:57.834381
EVT000194,ACCT0121,USER00210,login,2025-06-10T06:31:57.834381
EVT000195,ACCT0111,USER00089,login,2025-06-25T20:25:57.834381
EVT000196,ACCT0273,USER00737,api_call,2025-09-16T17:45:57.834381
EVT000197,ACCT0070,USER00759,login,2025-10-31T04:12:57.834381
EVT000198,ACCT0275,USER00693,api_call,2025-10-09T07:13:57.834381
EVT000199,ACCT0119,USER00920,feat_B,2025-09-15T22:49:57.834381
EVT000200,ACCT0196,USER00695,api_call,2025-07-04T12:09:57.834381
EVT000201,ACCT0182,USER00692,api_call,2025-07-27T20:15:57.834381
EVT000202,ACCT0109,USER00733,feat_A,2025-11-11T06:07:57.834381
EVT000203,ACCT0206,USER00119,feat_A,2025-07-31T14:59:57.834381
EVT000204,ACCT0216,USER00017,feat_A,2025-09-19T01:24:57.834381
EVT000205,ACCT0125,USER00809,api_call,2025-09-16T16:10:57.834381
EVT000206,ACCT0063,USER00487,feat_B,2025-06-05T23:42:57.834381
EVT000207,ACCT0284,USER00298,login,2025-11-13T22:17:57.834381
EVT000208,ACCT0215,USER00872,api_call,2025-08-12T15:58:57.834381
EVT000209,ACCT0215,USER00183,feat_B,2025-05-27T13:08:57.834381
EVT000210,ACCT0218,USER00231,api_call,2025-11-14T00:08:57.834381
EVT000211,ACCT0042,USER00819,login,2025-06-24T15:14:57.834381
EVT000212,ACCT0023,USER00265,feat_B,2025-10-01T02:27:57.834381
EVT000213,ACCT0197,USER00603,feat_A,2025-10-25T20:00:57.834381
EVT000214,ACCT0189,USER00520,feat_A,2025-10-02T18:08:57.834381
EVT000215,ACCT0114,USER00511,api_call,2025-07-07T01:08:57.834381
EVT000216,ACCT0173,USER00736,feat_B,2025-11-03T15:08:57.834381
EVT000217,ACCT0127,USER00983,login,2025-07-02T21:45:57.834381
EVT000218,ACCT0097,USER00526,api_call,2025-09-15T01:32:57.834381
EVT000219,ACCT0139,USER00875,feat_B,2025-06-09T08:20:57.834381
EVT000220,ACCT0235,USER00783,api_call,2025-05-27T19:50:57.834381
EVT000221,ACCT0015,USER00659,api_call,2025-10-22T03:39:57.834381
EVT000222,ACCT0097,USER00176,feat_A,2025-05-21T23:05:57.834381
EVT000223,ACCT0146,USER00262,feat_A,2025-08-26T13:24:57.834381
EVT000224,ACCT0165,USER00087,login,2025-10-30T22:21:57.834381
EVT000225,ACCT0035,USER00425,login,2025-06-24T13:19:57.834381
EVT000226,ACCT0282,USER00083,login,2025-07-03T13:55:57.834381
EVT000227,ACCT0298,USER00812,feat_A,2025-05-24T13:20:57.834381
EVT000228,ACCT0126,USER00229,feat_A,2025-10-06T03:11:57.834381
EVT000229,ACCT0135,USER00541,feat_B,2025-05-27T18:02:57.834381
EVT000230,ACCT0241,USER00519,feat_B,2025-09-04T03:51:57.834381
EVT000231,ACCT0096,USER00778,feat_B,2025-06-09T20:36:57.834381
EVT000232,ACCT0249,USER00194,feat_A,2025-10-24T20:11:57.834381
EVT000233,ACCT0147,USER00179,feat_A,2025-07-25T17:53:57.834381
EVT000234,ACCT0154,USER00826,login,2025-10-24T22:21:57.834381
EVT000235,ACCT0011,USER00569,feat_A,2025-08-06T11:42:57.834381
EVT000236,ACCT0223,USER00039,login,2025-11-05T18:31:57.834381
EVT000237,ACCT0194,USER00737,feat_A,2025-07-20T06:20:57.834381
EVT000238,ACCT0088,USER00146,api_call,2025-05-20T23:01:57.834381
EVT000239,ACCT0001,USER00634,login,2025-10-28T01:27:57.834381
EVT000240,ACCT0040,USER00624,feat_B,2025-08-07T09:28:57.834381
EVT000241,ACCT0127,USER00762,feat_B,2025-09-04T03:26:57.834381
EVT000242,ACCT0100,USER00100,feat_A,2025-06-19T22:42:57.834381
EVT000243,ACCT0292,USER00706,api_call,2025-11-09T22:37:57.834381
EVT000244,ACCT0026,USER00006,api_call,2025-06-18T18:38:57.834381
EVT000245,ACCT0207,USER00251,feat_B,2025-07-29T14:41:57.834381
EVT000246,ACCT0293,USER00323,api_call,2025-09-19T01:26:57.834381
EVT000247,ACCT0073,USER00636,api_call,2025-08-04T02:39:57.834381
EVT000248,ACCT0214,USER00543,login,2025-09-19T01:46:57.834381
EVT000249,ACCT0270,USER00195,feat_A,2025-06-11T02:58:57.834381
EVT000250,ACCT0153,USER00673,feat_A,2025-10-15T02:55:57.834381
EVT000251,ACCT0023,USER00015,feat_B,2025-10-17T23:00:57.834381
EVT000252,ACCT0011,USER00843,api_call,2025-06-25T04:35:57.834381
EVT000253,ACCT0236,USER00719,login,2025-08-14T17:58:57.834381
EVT000254,ACCT0019,USER00905,feat_A,2025-09-30T02:32:57.834381
